Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT, RESET",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,C49234124
"C1, C12, C13, C15, C3, C9",0402,6,10uF,C15525
"C10, C16, C17, C2, C4, C7, C8",0402,7,0u1F,C307331
"C11, C18",0402,2,1uf,C52923
C14,0603,1,22uF,C59461
"C5, C6",0402,2,22pF,C1555
"D1, D2, D3, D4, D9",D_SOD-523,5,D_TVS,C5199850
"D5, D8",0603,2,LED,C2286
D6,SMA_L4.3-W2.6-LS5.2-RD,1,D_Schottky,C2479
D7,0603,1,LED,C2290
F1,0805,1,Polyfuse,C46640991
J1,USB-SMD_TYPE-C16PCB1.6073,1,USB_C_Receptacle_USB2.0_16P,C2681552
J2,CONN-TH_B2B-PH-K-S,1,Conn_01x02_Pin,C131337
J3,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10_Pin,
"R1, R2",0402,2,5k1,C25905
R10,0402,1,13k,C11788
R11,0402,1,2k,C4109
"R12, R13",0402,2,4.7k,C25900
"R14, R15",0402,2,100k,C25741
R3,0402,1,65,C25076
"R4, R5, R6, R7, R8, R9",0402,6,10k,C25744
U1,ESP32-C3-MINI-1_EXP,1,ESP32-C3-MINI-1-N4,C2934569
U2,WSON10_DLH_TEX,1,BQ25185DLHR,C19725033
U3,SOT-223-3_TabPin2,1,SGM2212,C3294699
U4,XDCR_ENS160-BGLM,1,ENS160-BGLM,C3659288
U5,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT4x,C7461861
U6,SOT-223-3_TabPin2,1,AMS1117-1.8,C6185
