Designator,Mid X,Mid Y,Rotation,Layer
BOOT,139.3,-54.6,180.0,top
C1,127.81,-97.35,270.0,top
C10,116.44,-66.16,270.0,top
C11,122.51,-65.69,0.0,top
C12,133.7094,-96.7499,180.0,top
C13,141.49,-103.41,0.0,top
C14,149.21,-99.17,0.0,top
C15,143.84,-107.32,180.0,top
C16,135.05,-105.21,270.0,top
C17,123.73,-69.59,0.0,top
C18,131.8644,-96.7499,180.0,top
C2,126.6,-97.35,270.0,top
C3,125.46,-97.35,270.0,top
C4,124.41,-97.35,270.0,top
C5,126.22,-76.47,90.0,top
C6,126.22,-81.81,270.0,top
C7,136.02,-56.01,270.0,top
C8,144.4,-56.01,270.0,top
C9,117.5,-66.16,270.0,top
D1,124.61,-78.34,0.0,top
D2,124.62,-79.92,0.0,top
D3,123.49,-75.97,90.0,top
D4,127.18,-103.5,270.0,top
D5,133.3,-55.070001,180.0,top
D6,123.1,-102.11,180.0,top
D7,132.7719,-95.3299,180.0,top
D8,132.7719,-93.6799,180.0,top
D9,123.49,-82.22,270.0,top
F1,128.21,-85.21,270.0,top
J1,119.4,-79.1,270.0,top
J2,116.83,-100.85,270.0,top
J3,147.735,-79.1,0.0,top
R1,119.07,-71.36,90.0,top
R10,137.2894,-98.7399,180.0,top
R11,137.2894,-97.6499,180.0,top
R12,128.02,-57.17,180.0,top
R13,128.02,-58.18,0.0,top
R14,121.6,-68.57,0.0,top
R15,123.75,-68.57,0.0,top
R2,119.07,-86.73,270.0,top
R3,130.7375,-55.070001,0.0,top
R4,121.52,-66.7,0.0,top
R5,119.31,-65.68,0.0,top
R6,128.02,-55.070001,180.0,top
R7,130.2994,-95.3799,0.0,top
R8,137.2894,-99.7999,0.0,top
R9,130.2994,-93.6499,0.0,top
RESET,147.7,-54.6,180.0,top
U1,117.5199,-58.27,90.0,top
U2,132.8197,-98.6299,0.0,top
U3,125.09,-91.94,270.0,top
U4,147.475,-105.85,0.0,top
U5,133.18,-105.4525,90.0,top
U6,143.25,-99.24,180.0,top
